lat;lng
-68.5448799949332;-33.0458862936201
-68.5449471883192;-33.0452667297677
-68.5449471883192;-33.0452667297677
-68.5449471883192;-33.0452667297677
-68.5448799949332;-33.0458299698136
-68.5443424478454;-33.0466184998265
-68.5435361272138;-33.0467311463949
-68.5436033205997;-33.0458862936201
-68.5433345470558;-33.0450414327408
-68.5374887224762;-33.0352967848832
-68.537959076178 ;-33.0351841236919
-68.5387653968097;-33.0361417392258
-68.5392357505115;-33.0363670590153
-68.5722948964102;-33.0263961069617
-68.5715557691645;-33.0257764060399
-68.5693383874274;-33.0263961069617
-68.5796189754812;-33.0361980692272
-68.5817019704464;-33.0397467867089
-68.5878165685699;-33.0417745610895
-68.5887572759735;-33.0421688451318
-68.5935951997636;-33.0435206627354
-68.5953422277989;-33.0440839139472
-68.597559609536 ;-33.0451540813263
-68.5997097978871;-33.0456046742275
-68.6017255994663;-33.0462242357025
-68.6054884290808;-33.0463368827752
-68.6084449380636;-33.0478012816084
-68.6095200322392; -33.048251860966
-68.6193974599772;-33.0492093344464
-68.6206741343107;-33.0485897939713
-68.6230930962057;-33.0484208276308
-68.6252432845568;-33.0485334718939
-68.6261167985745;-33.0490966910479
-68.627326279522 ;-33.0490403692946
-68.6287373406274;-33.0502231185495
-68.6329033305577;-33.0497725492779
-68.6341800048912;-33.0503357605072
-68.6394882823831;-33.0512932113299
-68.647148328384 ; -33.052475930326
-68.6513143183143;-33.0501949580376
-68.6542372306041;-33.0494346208113
-68.6576640932887;-33.0484208276308
-68.6613933262102;-33.0468156312266
-68.6649209789738;-33.0442810510203
-68.6858853153974;-33.0417463978761
-68.6882034872134;-33.0417463978761
-68.6901184987137;-33.0412394584949
-68.6910256094243;-33.0403100620524
-68.6920335102139;-33.0392116717967
-68.6935453613983;-33.0363388940731
-68.6939485217141;-33.0350714623566
-68.6951580026616;-33.0345644845651
-68.6976777546356;-33.0339730067881
-68.7045314800048;-33.0321985496347
-68.714005747427 ;-33.0301705548476
-68.720405917441 ;-33.0289452853811
-68.7298801848631;-33.0272552305778
-68.7309384806922; -33.027086223315
-68.742478944733 ;-33.0251426164995
-68.7427813149699;-33.0257341535456
-68.7557832351557;-33.0237905169153
-68.7590085176824; -33.023621503009
-68.7615282696564;-33.0233679815419
-68.7620322200511;-33.0225229047188
-68.7725143882629;-33.0201566465147
-68.7901526520808;-33.0168606810315
-68.7924708238969;-33.0168606810315
-68.7980142782396;-33.0155084544203
-68.8058759043985;-33.0135645923356
-68.8118225190571;-33.0122123151773
-68.8320813249279;-33.0077327489809
-68.8471998367718;-33.0047744201536
-68.8543559323779;-33.0039291651223
-68.8573796347467;-33.0033374817814
